Chatbot智能对话系统测试用例文档
测试用例编号	测试用例名称	优先级	前置条件	操作步骤	预期结果
01	验证功能选择区域显示搭建系统和智能分析选项	P0	用户已登录系统,进入对话界面	1. 打开ZenFlux Chatbot系统<br>2. 进入对话界面<br>3. 查看页面上方的功能选择区域	1. 系统成功打开<br>2. 对话界面正常加载<br>3. 功能选择区域清晰可见,显示搭建系统和智能分析两个选项按钮
02	验证选择单个功能-搭建系统	P0	用户已进入对话界面,功能选择区域已显示	1. 在功能选择区域点击搭建系统按钮<br>2. 观察按钮的视觉状态变化<br>3. 在输入框输入我想搭建一个系统<br>4. 发送消息并观察系统响应	1. 搭建系统按钮呈现选中状态<br>2. 按钮保持选中状态<br>3. 消息成功发送<br>4. 系统识别为搭建系统意图,提供业务梳理引导回复
03	验证选择单个功能-智能分析	P0	用户已进入对话界面,功能选择区域已显示	1. 在功能选择区域点击智能分析按钮<br>2. 观察按钮的视觉状态变化<br>3. 在输入框输入我需要分析数据<br>4. 发送消息并观察系统响应	1. 智能分析按钮呈现选中状态<br>2. 按钮保持选中状态<br>3. 消息成功发送<br>4. 系统识别为数据分析意图,提供数据上传引导回复
04	验证同时选择两个功能	P0	用户已进入对话界面,功能选择区域已显示	1. 在功能选择区域点击搭建系统按钮<br>2. 再点击智能分析按钮<br>3. 观察两个按钮的视觉状态<br>4. 在输入框输入帮我搭建一个数据分析系统<br>5. 发送消息并观察系统响应	1. 搭建系统按钮呈现选中状态<br>2. 智能分析按钮也呈现选中状态<br>3. 两个按钮同时保持选中状态<br>4. 消息成功发送<br>5. 系统能够正确识别组合意图,提供综合引导回复
05	验证不选择任何功能直接对话	P0	用户已进入对话界面,功能选择区域已显示,未选择任何功能	1. 不点击任何功能选择按钮<br>2. 直接在输入框输入你好今天天气怎么样<br>3. 发送消息并观察系统响应	1. 功能选择按钮保持未选中状态<br>2. 消息成功发送<br>3. 系统进入通用对话模式,正常回答用户问题
06	验证收起左侧边栏功能	P1	用户已进入对话界面,左侧边栏处于展开状态	1. 定位左侧边栏的收起按钮<br>2. 点击收起按钮<br>3. 观察左侧边栏的状态变化<br>4. 测量对话区域的宽度变化	1. 收起按钮清晰可见<br>2. 点击后左侧边栏向左收起或隐藏<br>3. 左侧边栏收起仅显示图标或完全隐藏<br>4. 对话区域宽度增加占据更多屏幕空间
07	验证展开左侧边栏功能	P1	用户已进入对话界面,左侧边栏处于收起状态	1. 定位展开按钮<br>2. 点击展开按钮<br>3. 观察左侧边栏的状态变化<br>4. 查看历史任务列表是否完整显示	1. 展开按钮清晰可见<br>2. 点击后左侧边栏向右展开<br>3. 左侧边栏完全展开显示完整内容<br>4. 历史任务列表完整显示包括任务名称和图标
08	验证左侧边栏状态持久化	P1	用户已登录系统,进入对话界面	1. 左侧边栏处于展开状态时点击浏览器刷新按钮<br>2. 等待页面重新加载完成<br>3. 观察左侧边栏的状态<br>4. 将左侧边栏收起<br>5. 再次点击浏览器刷新按钮<br>6. 等待页面重新加载完成<br>7. 观察左侧边栏的状态	1. 刷新操作正常执行<br>2. 页面重新加载后左侧边栏保持展开状态<br>3. 左侧边栏状态已记录<br>4. 左侧边栏成功收起<br>5. 刷新操作正常执行<br>6. 页面重新加载完成<br>7. 左侧边栏保持收起状态系统记住了用户的偏好设置
09	验证新建任务清空当前对话	P0	用户已进入对话界面,正在进行对话已有3轮以上对话内容	1. 记录当前对话的内容和轮次数<br>2. 点击新建任务按钮<br>3. 观察对话区域的变化<br>4. 检查功能选择区域是否显示	1. 对话内容和轮次已记录<br>2. 新建任务按钮响应点击<br>3. 对话区域清空之前的对话内容消失显示空白对话界面或欢迎信息<br>4. 功能选择区域重新显示用户可以重新选择功能
10	验证新建任务后之前对话自动保存为历史任务	P0	用户已进入对话界面,正在进行对话标题为零售门店销售数据分析	1. 记录当前对话的标题和内容<br>2. 点击新建任务按钮<br>3. 等待系统处理<br>4. 展开左侧边栏<br>5. 查看历史任务列表<br>6. 找到刚才的对话任务	1. 对话标题和内容已记录<br>2. 新建任务按钮响应当前对话被清空<br>3. 系统处理完成显示新的空白对话界面<br>4. 左侧边栏成功展开<br>5. 历史任务列表中出现新的任务项<br>6. 找到名为零售门店销售数据分析的历史任务包含之前的所有对话内容
11	验证新建任务时无对话内容的情况	P0	用户已进入对话界面,但尚未发送任何消息对话区域为空	1. 确认对话区域为空无任何对话内容<br>2. 点击新建任务按钮<br>3. 观察系统反应<br>4. 查看历史任务列表	1. 对话区域确认为空<br>2. 新建任务按钮响应点击<br>3. 系统保持在新建任务状态对话区域仍为空或显示欢迎信息<br>4. 历史任务列表中不增加新的空白任务项无内容不保存
12	验证加载历史任务的完整对话内容	P0	左侧边栏历史任务列表中至少有一个历史任务包含5轮对话	1. 在左侧边栏历史任务列表中找到历史任务<br>2. 点击该历史任务<br>3. 等待系统加载对话内容<br>4. 查看对话区域显示的内容<br>5. 滚动查看所有对话轮次	1. 成功定位到历史任务<br>2. 任务项响应点击高亮显示<br>3. 系统成功加载对话内容加载时间不超过2秒<br>4. 对话区域显示该任务的所有历史对话内容<br>5. 所有5轮对话完整显示包括用户消息和AI回复顺序正确
13	验证基于历史上下文继续对话	P0	已加载历史任务对话历史中提到过2024年销售数据	1. 确认已加载历史任务对话<br>2. 在输入框输入请继续分析这个数据<br>3. 发送消息<br>4. 观察AI的回复内容	1. 历史任务对话已正确加载<br>2. 消息成功发送<br>3. 发送成功<br>4. AI能够理解这个数据指的是历史上下文中的2024年销售数据给出相关分析回复
14	验证历史任务支持不限轮次的对话保存	P0	用户已进入一个新对话	1. 开始新对话连续发送50轮对话<br>2. 点击新建任务保存当前对话<br>3. 在历史任务列表中找到刚才的对话<br>4. 点击加载该历史任务<br>5. 滚动查看所有对话内容<br>6. 统计显示的对话轮次数	1. 50轮对话全部成功发送并收到回复<br>2. 当前对话成功保存为历史任务<br>3. 成功在历史任务列表中找到该任务<br>4. 历史任务成功加载<br>5. 可以滚动查看所有内容<br>6. 显示完整的50轮对话无遗漏或截断
15	验证历史任务列表显示所有任务	P1	用户已创建20个历史对话任务	1. 展开左侧边栏<br>2. 查看历史任务区域<br>3. 滚动历史任务列表<br>4. 统计显示的任务数量	1. 左侧边栏成功展开<br>2. 历史任务区域清晰显示<br>3. 列表可以滚动查看<br>4. 所有20个历史任务全部显示在列表中无遗漏
16	验证历史任务列表滚动加载功能	P1	用户已创建100个历史对话任务	1. 展开左侧边栏<br>2. 观察初始加载的历史任务数量<br>3. 滚动历史任务列表到底部<br>4. 观察是否自动加载更多任务<br>5. 继续滚动并重复观察<br>6. 统计最终显示的任务总数	1. 左侧边栏成功展开<br>2. 初始加载前20-30个任务<br>3. 滚动到底部<br>4. 系统自动加载下一批任务显示加载动画或指示器<br>5. 持续滚动时继续分批加载<br>6. 最终所有100个历史任务全部显示分页加载流畅无卡顿
17	验证大量历史任务的性能表现	P1	用户已创建500个历史对话任务	1. 记录当前时间<br>2. 展开左侧边栏<br>3. 记录边栏展开完成时间<br>4. 观察历史任务列表初始加载<br>5. 快速滚动列表到中间位置<br>6. 观察滚动的流畅度<br>7. 点击中间位置的某个历史任务<br>8. 记录任务加载完成时间	1. 时间记录成功<br>2. 左侧边栏展开<br>3. 边栏展开时间不超过1秒<br>4. 初始加载完成显示前20-30个任务<br>5. 滚动操作执行<br>6. 滚动流畅无明显卡顿或延迟<br>7. 任务响应点击<br>8. 任务加载时间不超过2秒系统在大数据量下性能表现良好
18	验证历史任务列表的最大高度和滚动条	P1	用户已创建50个历史对话任务	1. 展开左侧边栏<br>2. 观察历史任务列表区域的高度<br>3. 尝试查看所有任务<br>4. 观察是否出现滚动条<br>5. 使用鼠标滚轮或拖动滚动条	1. 左侧边栏成功展开<br>2. 历史任务列表有固定的最大高度不会无限延伸<br>3. 无法一次性看到所有50个任务<br>4. 列表右侧出现垂直滚动条<br>5. 可以通过鼠标滚轮或拖动滚动条顺畅地浏览所有历史任务
