ZenO智能分析系统多语言支持功能测试用例 - 第1组(系统级多语言切换)
测试用例编号	测试用例名称	优先级	前置条件	操作步骤	预期结果
001	语言切换入口-对话页面	P0	1. 已登录ZenFlux系统<br>2. 进入对话页面	1. 查看页面顶部<br>2. 定位语言切换按钮	1. 页面顶部显示"对话"/"仪表盘"切换标签<br>2. 语言切换入口清晰可见<br>3. 位置符合设计规范
002	语言切换入口-仪表盘页面	P0	1. 已登录ZenFlux系统<br>2. 进入仪表盘页面	1. 查看页面顶部<br>2. 定位语言切换按钮	1. 页面顶部显示语言切换入口<br>2. 切换入口位置一致<br>3. 与对话页面保持统一
003	语言切换-英语(en)	P0	1. 已登录系统<br>2. 当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"English"<br>3. 确认切换	1. 系统语言切换为英语<br>2. 所有界面元素显示英文<br>3. 切换响应时间<500ms
004	语言切换-德语(de)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Deutsch"<br>3. 确认切换	1. 系统语言切换为德语<br>2. 所有界面元素显示德文<br>3. 字符显示正确无乱码
005	语言切换-西班牙语通用版(es)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Español"<br>3. 确认切换	1. 系统语言切换为西班牙语<br>2. 界面元素显示西班牙文<br>3. 特殊字符(á,é,í,ó,ú,ñ)显示正确
006	语言切换-西班牙语拉美版(es-419)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Español (Latinoamérica)"<br>3. 确认切换	1. 系统切换为拉美西班牙语<br>2. 术语符合拉美习惯<br>3. 与通用版有区分
007	语言切换-法语(fr)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Français"<br>3. 确认切换	1. 系统语言切换为法语<br>2. 法语特殊字符正确显示<br>3. 界面布局适配良好
008	语言切换-意大利语(it)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Italiano"<br>3. 确认切换	1. 系统语言切换为意大利语<br>2. 所有界面元素显示意大利文<br>3. 字符渲染正确
009	语言切换-葡萄牙语巴西版(pt-BR)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Português (Brasil)"<br>3. 确认切换	1. 系统切换为巴西葡萄牙语<br>2. 术语符合巴西习惯<br>3. 特殊字符显示正确
010	语言切换-葡萄牙语葡萄牙版(pt-PT)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Português (Portugal)"<br>3. 确认切换	1. 系统切换为葡萄牙葡萄牙语<br>2. 与巴西版有术语区分<br>3. 界面显示正确
011	语言切换-越南语(vi)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Tiếng Việt"<br>3. 确认切换	1. 系统语言切换为越南语<br>2. 越南语声调符号显示正确<br>3. 界面元素完整显示
012	语言切换-土耳其语(tr)	P0	当前语言为简体中文	1. 点击语言切换按钮<br>2. 选择"Türkçe"<br>3. 确认切换	1. 系统语言切换为土耳其语<br>2. 特殊字符(ğ,ş,ı,ö,ü,ç)显示正确<br>3. 文本对齐正常
